 $5 a Day (2008)	PG-13
 $9.99 (2008)	R
 $windle (2002)	R
 '71 (2014)	R
 'A' gai wak (1983)	PG-13
 'A' gai wak 2 (1987)	PG-13
 'Master Harold' ... And the Boys (2010)	PG-13
 'R Xmas (2001)	R
 'Til There Was You (1997)	PG-13
 (500) Days of Summer (2009)	PG-13
 (Dean) (2016)	PG-13
 (Untitled) (2009)	R
 ...First Do No Harm (1997) (TV)	PG-13
 .45 (2006)	R
 1 Love (2003)	PG
 10 Cent Pistol (2014)	R
 10 Cloverfield Lane (2016)	PG-13
 10 Days in a Madhouse (2015)	R
 10 Items or Less (2006)	R
 10 Rules for Sleeping Around (2013)	R
 10 Things I Hate About You (1999)	PG-13
 10 Years (2011)	PG-13
 10,000 BC (2008)	PG-13
 10,000 Black Men Named George (2002) (TV)	R
 10,000 Saints (2015)	R
 10.000 Km (2014)	R
 100 Feet (2008)	R
 100 Girls (2000)	R
 100 Kilos (2001) (V)	R
 100 Mile Rule (2002)	R
 100 Million BC (2008) (V)	R
 100 Tears (2007)	NC-17
 1040 Not So EZ (2017)	R
 108 Stitches (2014)	R
 10th & Wolf (2006)	R
 11 settembre 1683 (2012)	R
 11-11-11 (2011)	PG-13
 11/11/11 (2011) (V)	R
 11:11 (2004)	R
 11:14 (2003)	R
 12 (2007)	PG-13
 12 and Holding (2005)	R
 12 Angry Men (1997) (TV)	PG-13
 12 Days of Terror (2004) (TV)	PG-13
 12 Dogs of Christmas: Great Puppy Rescue (2012)	PG
 12 Rounds (2009)	PG-13
 12 Rounds 2: Reloaded (2013)	R
 12 Rounds 3: Lockdown (2015)	R
 12 Years a Slave (2013)	R
 12-12-12 (2013)	R
