The Shawshank Redemption (1994)	9.2	1886532
The Godfather (1972)	9.2	1288041
The Godfather: Part II (1974)	9.0	888564
The Dark Knight (2008)	9.0	1862328
12 Angry Men (1957)	8.9	517779
Schindler's List (1993)	8.9	969994
Pulp Fiction (1994)	8.9	1475640
The Lord of the Rings: The Return of the King (2003)	8.9	1348023
Il buono, il brutto, il cattivo (1966)	8.8	558881
Fight Club (1999)	8.8	1512004
The Lord of the Rings: The Fellowship of the Ring (2001)	8.8	1368198
Forrest Gump (1994)	8.7	1423771
Star Wars: Episode V - The Empire Strikes Back (1980)	8.7	942108
Inception (2010)	8.7	1651211
The Lord of the Rings: The Two Towers (2002)	8.7	1220123
One Flew Over the Cuckoo's Nest (1975)	8.7	753125
Goodfellas (1990)	8.7	812897
The Matrix (1999)	8.7	1357073
Shichinin no samurai (1954)	8.6	254201
Star Wars (1977)	8.6	1014348
Cidade de Deus (2002)	8.6	587185
Se7en (1995)	8.6	1150476
The Silence of the Lambs (1991)	8.6	1004637
It's a Wonderful Life (1946)	8.6	312230
La vita è bella (1997)	8.6	484189
The Usual Suspects (1995)	8.6	824642
Léon (1994)	8.5	818821
Saving Private Ryan (1998)	8.5	992680
Sen to Chihiro no kamikakushi (2001)	8.5	484879
Coco (2017/I)	8.5	34934
American History X (1998)	8.5	868108
C'era una volta il West (1968)	8.5	242531
Interstellar (2014)	8.5	1117902
The Green Mile (1999)	8.5	893561
Psycho (1960)	8.5	476135
City Lights (1931)	8.5	125548
Casablanca (1942)	8.5	429587
Intouchables (2011)	8.5	589954
Modern Times (1936)	8.5	164925
The Pianist (2002)	8.5	567016
Raiders of the Lost Ark (1981)	8.5	732221
The Departed (2006)	8.5	974340
Rear Window (1954)	8.5	355074
Terminator 2: Judgment Day (1991)	8.5	823510
Back to the Future (1985)	8.5	828575
Whiplash (2014)	8.5	516087
Gladiator (2000)	8.5	1094423
The Lion King (1994)	8.5	734557
The Prestige (2006)	8.5	957860
Memento (2000)	8.5	941285
