'Abd Al-Hamid, Ja'far	Just Outside the Frame: The Profilmic Event and Beyond (2008)  (writer)
'Abd Al-Hamid, Ja'far	Mesocafé (2011)  (written by)
'Dada' Pecori, Diego	Adam (????/II)
'Dada' Pecori, Diego	Cantarella (2011)  (story)
'Dada' Pecori, Diego	Cantarella (2011)  (writer)
'Dada' Pecori, Diego	Makhno Beer (2010)  (screenwriter)
'Harmy', Harmacek, Petr	Star Wars: Despecialized Edition Remastered V2.5, Introducing the Sources (2013) (V)
'Kusare, Mak (I)	A Play Called a Temple Made of Clay (2014)  (writer)
'Kusare, Mak (I)	Baby Beautiful (2013/II)  (writer)
'Kusare, Mak (I)	Comrade (2008)  (writer)
'Legend' Spivey, Larry	The Crime City Diaries: Entry 1 - Crooked (2012)  (writer)
'Noble Julz'Hamilton, Ulia	StudZmen (2013)  (as Noble Julz Anu)
'Noble Julz'Hamilton, Ulia	The First: Noelle (2011)  (co-writer) (as Noble Julz Anu)
't Hart, Maarten	Das geheime Leben meiner Freundin (2005) (TV)  (novel "Die Sonnenuhr")
't Hart, Maarten	Een vlucht regenwulpen (1981)  (novel)  <1,1,1>
't Hart, Maarten	Het woeden der gehele wereld (2006)  (novel)
't Hart, Maarten	Kronvittnet (1989)  (novel "De kroongetuige") (as Maarten t'Hart)  <2,1,1>
't Hooft, Albert	Little Quentin (2010)  (written by)  <1,1,1>
't Joen, Léon\		Jack l'éventreur (1971)
't Serstevens, Albert	L'amour autour de la maison (1947)  (novel)
't Serstevens, Albert	L'or du Cristobal (1940)  (novel)
'Tia Diavian' Steward, Tierra	Mommy's Perfect Mate (2013)
'Twinkie' Bird, Tracy	The Counter: 1960 (2018)
'Wolfman' Ramirez, Juan	The First Echo (2014)  (as Juan Ramirez)
-, Busabuntu\		iZulu (2014)  (writer)
-, Euho\	\		Kungfu Taboo (2015)
-, Jack\	\		The Bunny (2016)
--, Anónimo\		X Érase una vez (2015)  (writer)
--, Broncos\		Pacifier & Blowpipe (2014)  (writer)
--, Nysu\		Axiom (2014)
., 'Chellam'\		Love and Lies (2012)  (writer)
., Brickhouse\		Old Man Trouble (2014)  (writer)
., Chirag (II)\		Conscious Awakening A Silent War (2015)  (story)
., Chirag (II)\		Conscious Awakening A Silent War (2015)  (writer)
., Crobin\		Alan Smithee (2012)
., Crobin\		Four Calories: A "Tic-Tacs" Parody (2013) (V)
., Crobin\		Jobbuilder: Clown Show (2014)
., Ifeelms\		Christmas Break (2017)  (writer)
., Parashakti\		Dance of Liberation (2014)  (writer)
., Saguenail\		A Menina Dos Olhos (2012)  (writer)
., Zeyn\	\		How much dose it cost you to look fine? (2017)  (writer)
., Zeyn\	\		Sane (2014)  <10>
1, Todd\	\		Knifed Up (2014)
1.85, Mariano\		Los justicieros (1996) (VG)
11:11, Angel\		The Umbrella (2010)  (additional material)
13, Wednesday\		Wednesday 13's Weirdo a Go-Go (2008) (V)
1930, Andy Hope\		Vertical Horizon (2017)  (screenwriter)
1930, Andy Hope\		Volki i ovtsy. Beeezumnoe prevrashchenie (2016)  (writer)
1930, Andy Hope\		2 Live Crew Feat. Ice-T: The Real One (1998)
1930, Andy Hope\		2 Live Crew Feat. KC of KC & the Sunshine Band and Freak Nasty: 2 Live Party (1998)
